method,item_key,selected_count,selection_prob
reservoir,2021-04-30|NVDA,3,0.006
reservoir,2021-04-30|ORCL,2,0.004
reservoir,2021-05-03|AAPL,1,0.002
reservoir,2021-05-03|AMD,2,0.004
reservoir,2021-05-03|ASML,0,0.0
reservoir,2021-05-03|INTC,3,0.006
reservoir,2021-05-03|META,3,0.006
reservoir,2021-05-03|MSFT,1,0.002
reservoir,2021-05-03|NVDA,2,0.004
reservoir,2021-05-03|ORCL,4,0.008
reservoir,2021-05-04|AAPL,0,0.0
reservoir,2021-05-04|AMD,3,0.006
reservoir,2021-05-04|ASML,0,0.0
reservoir,2021-05-04|INTC,3,0.006
reservoir,2021-05-04|META,4,0.008
reservoir,2021-05-04|MSFT,2,0.004
reservoir,2021-05-04|NVDA,1,0.002
reservoir,2021-05-04|ORCL,2,0.004
reservoir,2021-05-05|AAPL,8,0.016
reservoir,2021-05-05|AMD,1,0.002
reservoir,2021-05-05|ASML,0,0.0
reservoir,2021-05-05|INTC,3,0.006
reservoir,2021-05-05|META,1,0.002
reservoir,2021-05-05|MSFT,5,0.01
reservoir,2021-05-05|NVDA,4,0.008
reservoir,2021-05-05|ORCL,3,0.006
reservoir,2021-05-06|AAPL,1,0.002
reservoir,2021-05-06|AMD,2,0.004
reservoir,2021-05-06|ASML,2,0.004
reservoir,2021-05-06|INTC,1,0.002
reservoir,2021-05-06|META,4,0.008
reservoir,2021-05-06|MSFT,3,0.006
reservoir,2021-05-06|NVDA,3,0.006
reservoir,2021-05-06|ORCL,2,0.004
reservoir,2021-05-07|AAPL,3,0.006
reservoir,2021-05-07|AMD,2,0.004
reservoir,2021-05-07|ASML,0,0.0
reservoir,2021-05-07|INTC,4,0.008
reservoir,2021-05-07|META,3,0.006
reservoir,2021-05-07|MSFT,3,0.006
reservoir,2021-05-07|NVDA,3,0.006
reservoir,2021-05-07|ORCL,2,0.004
reservoir,2021-05-10|AAPL,3,0.006
reservoir,2021-05-10|AMD,2,0.004
reservoir,2021-05-10|ASML,1,0.002
reservoir,2021-05-10|INTC,3,0.006
reservoir,2021-05-10|META,3,0.006
reservoir,2021-05-10|MSFT,3,0.006
reservoir,2021-05-10|NVDA,0,0.0
reservoir,2021-05-10|ORCL,1,0.002
reservoir,2021-05-11|AAPL,1,0.002
reservoir,2021-05-11|AMD,1,0.002
reservoir,2021-05-11|ASML,3,0.006
reservoir,2021-05-11|INTC,5,0.01
reservoir,2021-05-11|META,7,0.014
reservoir,2021-05-11|MSFT,1,0.002
reservoir,2021-05-11|NVDA,2,0.004
reservoir,2021-05-11|ORCL,2,0.004
reservoir,2021-05-12|AAPL,2,0.004
reservoir,2021-05-12|AMD,1,0.002
reservoir,2021-05-12|ASML,1,0.002
reservoir,2021-05-12|INTC,4,0.008
reservoir,2021-05-12|META,1,0.002
reservoir,2021-05-12|MSFT,2,0.004
reservoir,2021-05-12|NVDA,3,0.006
reservoir,2021-05-12|ORCL,2,0.004
reservoir,2021-05-13|AAPL,1,0.002
reservoir,2021-05-13|AMD,3,0.006
reservoir,2021-05-13|ASML,4,0.008
reservoir,2021-05-13|INTC,3,0.006
reservoir,2021-05-13|META,4,0.008
reservoir,2021-05-13|MSFT,4,0.008
reservoir,2021-05-13|NVDA,6,0.012
reservoir,2021-05-13|ORCL,1,0.002
reservoir,2021-05-14|AAPL,0,0.0
reservoir,2021-05-14|AMD,4,0.008
reservoir,2021-05-14|ASML,3,0.006
reservoir,2021-05-14|INTC,4,0.008
reservoir,2021-05-14|META,2,0.004
reservoir,2021-05-14|MSFT,0,0.0
reservoir,2021-05-14|NVDA,3,0.006
reservoir,2021-05-14|ORCL,3,0.006
reservoir,2021-05-17|AAPL,3,0.006
reservoir,2021-05-17|AMD,2,0.004
reservoir,2021-05-17|ASML,5,0.01
reservoir,2021-05-17|INTC,2,0.004
reservoir,2021-05-17|META,1,0.002
reservoir,2021-05-17|MSFT,2,0.004
reservoir,2021-05-17|NVDA,4,0.008
reservoir,2021-05-17|ORCL,3,0.006
reservoir,2021-05-18|AAPL,7,0.014
reservoir,2021-05-18|AMD,3,0.006
reservoir,2021-05-18|ASML,3,0.006
reservoir,2021-05-18|INTC,4,0.008
reservoir,2021-05-18|META,2,0.004
reservoir,2021-05-18|MSFT,2,0.004
reservoir,2021-05-18|NVDA,3,0.006
reservoir,2021-05-18|ORCL,3,0.006
reservoir,2021-05-19|AAPL,6,0.012
reservoir,2021-05-19|AMD,2,0.004
reservoir,2021-05-19|ASML,3,0.006
reservoir,2021-05-19|INTC,2,0.004
reservoir,2021-05-19|META,1,0.002
reservoir,2021-05-19|MSFT,2,0.004
reservoir,2021-05-19|NVDA,1,0.002
reservoir,2021-05-19|ORCL,4,0.008
reservoir,2021-05-20|AAPL,2,0.004
reservoir,2021-05-20|AMD,5,0.01
reservoir,2021-05-20|ASML,1,0.002
reservoir,2021-05-20|INTC,1,0.002
reservoir,2021-05-20|META,1,0.002
reservoir,2021-05-20|MSFT,2,0.004
reservoir,2021-05-20|NVDA,2,0.004
reservoir,2021-05-20|ORCL,1,0.002
reservoir,2021-05-21|AAPL,2,0.004
reservoir,2021-05-21|AMD,1,0.002
reservoir,2021-05-21|ASML,3,0.006
reservoir,2021-05-21|INTC,4,0.008
reservoir,2021-05-21|META,2,0.004
reservoir,2021-05-21|MSFT,1,0.002
reservoir,2021-05-21|NVDA,3,0.006
reservoir,2021-05-21|ORCL,3,0.006
reservoir,2021-05-24|AAPL,3,0.006
reservoir,2021-05-24|AMD,2,0.004
reservoir,2021-05-24|ASML,4,0.008
reservoir,2021-05-24|INTC,0,0.0
reservoir,2021-05-24|META,3,0.006
reservoir,2021-05-24|MSFT,3,0.006
reservoir,2021-05-24|NVDA,3,0.006
reservoir,2021-05-24|ORCL,5,0.01
reservoir,2021-05-25|AAPL,3,0.006
reservoir,2021-05-25|AMD,5,0.01
reservoir,2021-05-25|ASML,1,0.002
reservoir,2021-05-25|INTC,2,0.004
reservoir,2021-05-25|META,1,0.002
reservoir,2021-05-25|MSFT,3,0.006
reservoir,2021-05-25|NVDA,1,0.002
reservoir,2021-05-25|ORCL,3,0.006
reservoir,2021-05-26|AAPL,4,0.008
reservoir,2021-05-26|AMD,1,0.002
reservoir,2021-05-26|ASML,0,0.0
reservoir,2021-05-26|INTC,1,0.002
reservoir,2021-05-26|META,3,0.006
reservoir,2021-05-26|MSFT,3,0.006
reservoir,2021-05-26|NVDA,4,0.008
reservoir,2021-05-26|ORCL,1,0.002
reservoir,2021-05-27|AAPL,3,0.006
reservoir,2021-05-27|AMD,2,0.004
reservoir,2021-05-27|ASML,5,0.01
reservoir,2021-05-27|INTC,0,0.0
reservoir,2021-05-27|META,5,0.01
reservoir,2021-05-27|MSFT,1,0.002
reservoir,2021-05-27|NVDA,3,0.006
reservoir,2021-05-27|ORCL,3,0.006
reservoir,2021-05-28|AAPL,5,0.01
reservoir,2021-05-28|AMD,5,0.01
reservoir,2021-05-28|ASML,0,0.0
reservoir,2021-05-28|INTC,2,0.004
reservoir,2021-05-28|META,2,0.004
reservoir,2021-05-28|MSFT,1,0.002
reservoir,2021-05-28|NVDA,2,0.004
reservoir,2021-05-28|ORCL,2,0.004
reservoir,2021-06-01|AAPL,0,0.0
reservoir,2021-06-01|AMD,1,0.002
reservoir,2021-06-01|ASML,2,0.004
reservoir,2021-06-01|INTC,4,0.008
reservoir,2021-06-01|META,2,0.004
reservoir,2021-06-01|MSFT,1,0.002
reservoir,2021-06-01|NVDA,3,0.006
reservoir,2021-06-01|ORCL,0,0.0
reservoir,2021-06-02|AAPL,3,0.006
reservoir,2021-06-02|AMD,4,0.008
reservoir,2021-06-02|ASML,3,0.006
reservoir,2021-06-02|INTC,4,0.008
reservoir,2021-06-02|META,5,0.01
reservoir,2021-06-02|MSFT,2,0.004
reservoir,2021-06-02|NVDA,4,0.008
reservoir,2021-06-02|ORCL,1,0.002
reservoir,2021-06-03|AAPL,6,0.012
reservoir,2021-06-03|AMD,5,0.01
reservoir,2021-06-03|ASML,1,0.002
reservoir,2021-06-03|INTC,5,0.01
reservoir,2021-06-03|META,8,0.016
reservoir,2021-06-03|MSFT,5,0.01
reservoir,2021-06-03|NVDA,3,0.006
reservoir,2021-06-03|ORCL,2,0.004
reservoir,2021-06-04|AAPL,3,0.006
reservoir,2021-06-04|AMD,0,0.0
reservoir,2021-06-04|ASML,2,0.004
reservoir,2021-06-04|INTC,1,0.002
reservoir,2021-06-04|META,1,0.002
reservoir,2021-06-04|MSFT,5,0.01
reservoir,2021-06-04|NVDA,2,0.004
reservoir,2021-06-04|ORCL,2,0.004
reservoir,2021-06-07|AAPL,3,0.006
reservoir,2021-06-07|AMD,4,0.008
reservoir,2021-06-07|ASML,1,0.002
reservoir,2021-06-07|INTC,6,0.012
reservoir,2021-06-07|META,4,0.008
reservoir,2021-06-07|MSFT,1,0.002
reservoir,2021-06-07|NVDA,3,0.006
reservoir,2021-06-07|ORCL,2,0.004
reservoir,2021-06-08|AAPL,2,0.004
reservoir,2021-06-08|AMD,3,0.006
reservoir,2021-06-08|ASML,1,0.002
reservoir,2021-06-08|INTC,3,0.006
reservoir,2021-06-08|META,2,0.004
reservoir,2021-06-08|MSFT,2,0.004
reservoir,2021-06-08|NVDA,5,0.01
reservoir,2021-06-08|ORCL,2,0.004
reservoir,2021-06-09|AAPL,2,0.004
reservoir,2021-06-09|AMD,3,0.006
reservoir,2021-06-09|ASML,3,0.006
reservoir,2021-06-09|INTC,1,0.002
reservoir,2021-06-09|META,4,0.008
reservoir,2021-06-09|MSFT,2,0.004
reservoir,2021-06-09|NVDA,2,0.004
reservoir,2021-06-09|ORCL,3,0.006
reservoir,2021-06-10|AAPL,6,0.012
reservoir,2021-06-10|AMD,4,0.008
reservoir,2021-06-10|ASML,6,0.012
reservoir,2021-06-10|INTC,0,0.0
reservoir,2021-06-10|META,4,0.008
reservoir,2021-06-10|MSFT,3,0.006
reservoir,2021-06-10|NVDA,4,0.008
reservoir,2021-06-10|ORCL,7,0.014
reservoir,2021-06-11|AAPL,2,0.004
reservoir,2021-06-11|AMD,1,0.002
reservoir,2021-06-11|ASML,2,0.004
reservoir,2021-06-11|INTC,0,0.0
reservoir,2021-06-11|META,2,0.004
reservoir,2021-06-11|MSFT,1,0.002
reservoir,2021-06-11|NVDA,3,0.006
reservoir,2021-06-11|ORCL,3,0.006
reservoir,2021-06-14|AAPL,4,0.008
reservoir,2021-06-14|AMD,0,0.0
reservoir,2021-06-14|ASML,1,0.002
reservoir,2021-06-14|INTC,1,0.002
reservoir,2021-06-14|META,3,0.006
reservoir,2021-06-14|MSFT,3,0.006
reservoir,2021-06-14|NVDA,3,0.006
reservoir,2021-06-14|ORCL,1,0.002
reservoir,2021-06-15|AAPL,2,0.004
reservoir,2021-06-15|AMD,4,0.008
reservoir,2021-06-15|ASML,4,0.008
reservoir,2021-06-15|INTC,0,0.0
reservoir,2021-06-15|META,2,0.004
reservoir,2021-06-15|MSFT,4,0.008
reservoir,2021-06-15|NVDA,5,0.01
reservoir,2021-06-15|ORCL,4,0.008
reservoir,2021-06-16|AAPL,3,0.006
reservoir,2021-06-16|AMD,1,0.002
reservoir,2021-06-16|ASML,3,0.006
reservoir,2021-06-16|INTC,3,0.006
reservoir,2021-06-16|META,4,0.008
reservoir,2021-06-16|MSFT,3,0.006
reservoir,2021-06-16|NVDA,0,0.0
reservoir,2021-06-16|ORCL,4,0.008
reservoir,2021-06-17|AAPL,2,0.004
reservoir,2021-06-17|AMD,1,0.002
reservoir,2021-06-17|ASML,1,0.002
reservoir,2021-06-17|INTC,0,0.0
reservoir,2021-06-17|META,2,0.004
reservoir,2021-06-17|MSFT,3,0.006
reservoir,2021-06-17|NVDA,3,0.006
reservoir,2021-06-17|ORCL,2,0.004
reservoir,2021-06-18|AAPL,3,0.006
reservoir,2021-06-18|AMD,6,0.012
reservoir,2021-06-18|ASML,3,0.006
reservoir,2021-06-18|INTC,3,0.006
reservoir,2021-06-18|META,6,0.012
reservoir,2021-06-18|MSFT,1,0.002
reservoir,2021-06-18|NVDA,1,0.002
reservoir,2021-06-18|ORCL,4,0.008
reservoir,2021-06-21|AAPL,2,0.004
reservoir,2021-06-21|AMD,4,0.008
reservoir,2021-06-21|ASML,5,0.01
reservoir,2021-06-21|INTC,2,0.004
reservoir,2021-06-21|META,2,0.004
reservoir,2021-06-21|MSFT,4,0.008
reservoir,2021-06-21|NVDA,5,0.01
reservoir,2021-06-21|ORCL,3,0.006
reservoir,2021-06-22|AAPL,5,0.01
reservoir,2021-06-22|AMD,5,0.01
reservoir,2021-06-22|ASML,5,0.01
reservoir,2021-06-22|INTC,1,0.002
reservoir,2021-06-22|META,2,0.004
reservoir,2021-06-22|MSFT,3,0.006
reservoir,2021-06-22|NVDA,5,0.01
reservoir,2021-06-22|ORCL,2,0.004
reservoir,2021-06-23|AAPL,4,0.008
reservoir,2021-06-23|AMD,2,0.004
reservoir,2021-06-23|ASML,1,0.002
reservoir,2021-06-23|INTC,0,0.0
reservoir,2021-06-23|META,0,0.0
reservoir,2021-06-23|MSFT,3,0.006
reservoir,2021-06-23|NVDA,1,0.002
reservoir,2021-06-23|ORCL,2,0.004
reservoir,2021-06-24|AAPL,1,0.002
reservoir,2021-06-24|AMD,3,0.006
reservoir,2021-06-24|ASML,2,0.004
reservoir,2021-06-24|INTC,1,0.002
reservoir,2021-06-24|META,1,0.002
reservoir,2021-06-24|MSFT,2,0.004
reservoir,2021-06-24|NVDA,2,0.004
reservoir,2021-06-24|ORCL,2,0.004
reservoir,2021-06-25|AAPL,5,0.01
reservoir,2021-06-25|AMD,3,0.006
reservoir,2021-06-25|ASML,1,0.002
reservoir,2021-06-25|INTC,2,0.004
reservoir,2021-06-25|META,1,0.002
reservoir,2021-06-25|MSFT,0,0.0
reservoir,2021-06-25|NVDA,4,0.008
reservoir,2021-06-25|ORCL,2,0.004
reservoir,2021-06-28|AAPL,0,0.0
reservoir,2021-06-28|AMD,4,0.008
reservoir,2021-06-28|ASML,1,0.002
reservoir,2021-06-28|INTC,4,0.008
reservoir,2021-06-28|META,3,0.006
reservoir,2021-06-28|MSFT,2,0.004
reservoir,2021-06-28|NVDA,0,0.0
reservoir,2021-06-28|ORCL,1,0.002
reservoir,2021-06-29|AAPL,1,0.002
reservoir,2021-06-29|AMD,3,0.006
reservoir,2021-06-29|ASML,4,0.008
reservoir,2021-06-29|INTC,0,0.0
reservoir,2021-06-29|META,2,0.004
reservoir,2021-06-29|MSFT,2,0.004
reservoir,2021-06-29|NVDA,5,0.01
reservoir,2021-06-29|ORCL,2,0.004
reservoir,2021-06-30|AAPL,2,0.004
reservoir,2021-06-30|AMD,3,0.006
reservoir,2021-06-30|ASML,0,0.0
reservoir,2021-06-30|INTC,0,0.0
reservoir,2021-06-30|META,2,0.004
reservoir,2021-06-30|MSFT,4,0.008
reservoir,2021-06-30|NVDA,1,0.002
reservoir,2021-06-30|ORCL,1,0.002
reservoir,2021-07-01|AAPL,3,0.006
reservoir,2021-07-01|AMD,1,0.002
reservoir,2021-07-01|ASML,1,0.002
reservoir,2021-07-01|INTC,0,0.0
reservoir,2021-07-01|META,5,0.01
reservoir,2021-07-01|MSFT,2,0.004
reservoir,2021-07-01|NVDA,4,0.008
reservoir,2021-07-01|ORCL,2,0.004
reservoir,2021-07-02|AAPL,2,0.004
reservoir,2021-07-02|AMD,2,0.004
reservoir,2021-07-02|ASML,2,0.004
reservoir,2021-07-02|INTC,2,0.004
reservoir,2021-07-02|META,4,0.008
reservoir,2021-07-02|MSFT,2,0.004
reservoir,2021-07-02|NVDA,2,0.004
reservoir,2021-07-02|ORCL,1,0.002
reservoir,2021-07-06|AAPL,1,0.002
reservoir,2021-07-06|AMD,2,0.004
reservoir,2021-07-06|ASML,1,0.002
reservoir,2021-07-06|INTC,3,0.006
reservoir,2021-07-06|META,2,0.004
reservoir,2021-07-06|MSFT,7,0.014
reservoir,2021-07-06|NVDA,2,0.004
reservoir,2021-07-06|ORCL,1,0.002
reservoir,2021-07-07|AAPL,6,0.012
reservoir,2021-07-07|AMD,2,0.004
reservoir,2021-07-07|ASML,1,0.002
reservoir,2021-07-07|INTC,1,0.002
reservoir,2021-07-07|META,0,0.0
reservoir,2021-07-07|MSFT,0,0.0
reservoir,2021-07-07|NVDA,1,0.002
reservoir,2021-07-07|ORCL,3,0.006
reservoir,2021-07-08|AAPL,5,0.01
reservoir,2021-07-08|AMD,3,0.006
reservoir,2021-07-08|ASML,2,0.004
reservoir,2021-07-08|INTC,5,0.01
reservoir,2021-07-08|META,3,0.006
reservoir,2021-07-08|MSFT,2,0.004
reservoir,2021-07-08|NVDA,1,0.002
reservoir,2021-07-08|ORCL,1,0.002
reservoir,2021-07-09|AAPL,1,0.002
reservoir,2021-07-09|AMD,0,0.0
reservoir,2021-07-09|ASML,4,0.008
reservoir,2021-07-09|INTC,8,0.016
reservoir,2021-07-09|META,2,0.004
reservoir,2021-07-09|MSFT,1,0.002
reservoir,2021-07-09|NVDA,4,0.008
reservoir,2021-07-09|ORCL,2,0.004
reservoir,2021-07-12|AAPL,2,0.004
reservoir,2021-07-12|AMD,0,0.0
reservoir,2021-07-12|ASML,3,0.006
reservoir,2021-07-12|INTC,6,0.012
reservoir,2021-07-12|META,1,0.002
reservoir,2021-07-12|MSFT,1,0.002
reservoir,2021-07-12|NVDA,4,0.008
reservoir,2021-07-12|ORCL,2,0.004
reservoir,2021-07-13|AAPL,2,0.004
reservoir,2021-07-13|AMD,2,0.004
reservoir,2021-07-13|ASML,5,0.01
reservoir,2021-07-13|INTC,2,0.004
reservoir,2021-07-13|META,2,0.004
reservoir,2021-07-13|MSFT,4,0.008
reservoir,2021-07-13|NVDA,3,0.006
reservoir,2021-07-13|ORCL,3,0.006
reservoir,2021-07-14|AAPL,4,0.008
reservoir,2021-07-14|AMD,4,0.008
reservoir,2021-07-14|ASML,4,0.008
reservoir,2021-07-14|INTC,5,0.01
reservoir,2021-07-14|META,2,0.004
reservoir,2021-07-14|MSFT,2,0.004
reservoir,2021-07-14|NVDA,1,0.002
reservoir,2021-07-14|ORCL,3,0.006
reservoir,2021-07-15|AAPL,2,0.004
reservoir,2021-07-15|AMD,3,0.006
reservoir,2021-07-15|ASML,5,0.01
reservoir,2021-07-15|INTC,5,0.01
reservoir,2021-07-15|META,3,0.006
reservoir,2021-07-15|MSFT,4,0.008
reservoir,2021-07-15|NVDA,3,0.006
reservoir,2021-07-15|ORCL,0,0.0
reservoir,2021-07-16|AAPL,1,0.002
reservoir,2021-07-16|AMD,1,0.002
reservoir,2021-07-16|ASML,2,0.004
reservoir,2021-07-16|INTC,2,0.004
reservoir,2021-07-16|META,4,0.008
reservoir,2021-07-16|MSFT,1,0.002
reservoir,2021-07-16|NVDA,1,0.002
reservoir,2021-07-16|ORCL,5,0.01
reservoir,2021-07-19|AAPL,2,0.004
reservoir,2021-07-19|AMD,3,0.006
reservoir,2021-07-19|ASML,3,0.006
reservoir,2021-07-19|INTC,3,0.006
reservoir,2021-07-19|META,1,0.002
reservoir,2021-07-19|MSFT,5,0.01
reservoir,2021-07-19|NVDA,1,0.002
reservoir,2021-07-19|ORCL,0,0.0
reservoir,2021-07-20|AAPL,5,0.01
reservoir,2021-07-20|AMD,2,0.004
reservoir,2021-07-20|ASML,0,0.0
reservoir,2021-07-20|INTC,3,0.006
reservoir,2021-07-20|META,2,0.004
reservoir,2021-07-20|MSFT,3,0.006
reservoir,2021-07-20|NVDA,4,0.008
reservoir,2021-07-20|ORCL,0,0.0
reservoir,2021-07-21|AAPL,4,0.008
reservoir,2021-07-21|AMD,1,0.002
reservoir,2021-07-21|ASML,1,0.002
reservoir,2021-07-21|INTC,2,0.004
reservoir,2021-07-21|META,1,0.002
reservoir,2021-07-21|MSFT,2,0.004
reservoir,2021-07-21|NVDA,1,0.002
reservoir,2021-07-21|ORCL,2,0.004
reservoir,2021-07-22|AAPL,2,0.004
reservoir,2021-07-22|AMD,3,0.006
reservoir,2021-07-22|ASML,0,0.0
reservoir,2021-07-22|INTC,2,0.004
reservoir,2021-07-22|META,2,0.004
reservoir,2021-07-22|MSFT,4,0.008
reservoir,2021-07-22|NVDA,5,0.01
reservoir,2021-07-22|ORCL,3,0.006
reservoir,2021-07-23|AAPL,1,0.002
reservoir,2021-07-23|AMD,1,0.002
reservoir,2021-07-23|ASML,1,0.002
